#FourCC database file mostly based on information derived from http://fourcc.org/codecs.php
#Date: 16.10.2014
#
#Format description:
#	CSV based format with 3 entries divided by horizontal tabs (ASCII code 0x09)
#
#Example:
#	FOURCC [TAB] NAME [TAB] Summary
#
BW10	BW10	Broadway MPEG Capture/Compression. Codec for Broadway hardware-based MPEG compression system.
BYR1	BYR1	This format stores raw 8bit Bayer samples. The Bayer color filter array is described here: http://www.siliconimaging.com/RGB%20Bayer.htm
BYR2	BYR2	This format stores packed 16bit Bayer samples with 12bit precision. The Bayer color filter array is described here: http://www.siliconimaging.com/RGB%20Bayer.htm
CC12	CC12	No information available for this codec.
CDVC	CDVC	Allegedly used with digital video cameras.
CFCC	CFCC	Native format used when capturing AVIs using a DPS Perception adapter.
CGDI	CGDI	AVI format used by Office 97 camcorder application.
CHAM	CHAM	No information available for this codec.
CJPG	CJPG	WebCam JPEG. Used by Creative Video Blaster Webcam Go control.
CMYK	CMYK	Uncompressed 32bpp CMYK as used in printing processes.
CPLA	CPLA	This sounds like an uncompressed format to me. Anyone know?
CRAM	CRAM	Allegedly identical to MSVC.
CSCD	CSCD	Open source (GPL license) codec optimised for screen capture applications.
CTRX	CTRX	No information available for this codec.
CVID	CVID	Cinepak. Originally owned by Supermac then Radius, now P & B.
CWLT	CWLT	Apparently WLT is "with lookup table". Presumably, therefore, this is similar to a standard DIB using FOURCC 0?
CXY1	CXY1	Conexant YUV 4:1:1. Uncompressed, planar 4:1:1 YUV format.
CXY2	CXY2	Conexant YUV 4:2:2. Uncompressed, planar 4:2:2 YUV format.
CYUV	CYUV	Creative YUV. Proprietary YUV compression algorithm.
CYUY	CYUY	Proprietary YUV compression algorithm
D261	D261	Presumably now owned by Intel.
D263	D263	Presumably now owned by Intel.
DAVC	DAVC	H.264/MPEG-4 AVC base profile codec.
DCL1	DCL1	Format used in Data Connection Ltd's conferencing services.
DCL2	DCL2	Format used in Data Connection Ltd's conferencing services.
DCL3	DCL3	Format used in Data Connection Ltd's conferencing services.
DCL4	DCL4	Format used in Data Connection Ltd's conferencing services.
DCL5	DCL5	Format used in Data Connection Ltd's conferencing services.
DIV3	DIV3	DivX MPEG-4. Low motion codec (optimised for low motion source material?). Several sources tell me that this is an old and illegal codec that should not be used to encode new material.
DIV4	DIV4	DivX MPEG-4. Fast motion codec.Several sources tell me that this is an old and illegal codec that should not be used to encode new material.
DIV5	DIV5	Apparently almost as old as DIV3 and DIV4. Changing DIV5 AVI's FOURCC to DIV3 or DIV4 seems to allow them to play just fine.
DIVX	DivX	This FOURCC code is used for versions 4.0 and later of the DivX codec. DivX, "the MP3 of video,"  is the popular and market-leading MPEG-4 video codec that is emerging as the standard for full screen, full motion, DVD-quality video over IP-based networks. Apparently version 5 also encodes using FOURCC DX50.
DM4V	DM4V	MPEG4 codec compatible with DivX4 and 5.
DMB1	DMB1	Rainbow Runner hardware compression. Hardware codec used by Matrox Rainbow Runner video capture product. Apparently a form of Motion JPEG). 
DMB2	DMB2	MJPEG codec used by Paradigm.
DMK2	DMK2	Movies generated by a ViewSonic V36 PDA appear to be AVI files using this video codec. Oddly enough, they are named .mpg - go figure.
DSVD	DSVD	The DSVD codec is a VFW-based compressor that firewire- and DV-based capture cards use. It is supported by Graphedit (from divx-digest.com), Adobe Premier and StudioDV. VirtualDub doesn't support the format. I suspect that this and DVSD are one and the same - perhaps one of my informants typed the FOURCC wrongly?
DUCK	DUCK	Rather nice RGB codec which, strangely enough, appears to have two distinct FOURCCs.
DV25	DV25	DVCPRO. SMPTE 314M 25Mb/s compressed video. A professional variant of DVC (dvsd). Unlike dvsd, it uses 4:1:1 sampling structure for both NTSC and PAL.
DV50	DV50	DVCPRO50. SMPTE 314M 50Mb/s compressed video. Has twice the data rate (50Mbits/sec) of dv25 and uses 4:2:2 sampling structure.
DVAN	DVAN	No information available for this codec.
DVCS	DVCS	A generic DV codec along the same lines as DVSD. Microsoft indicates that this codec should be considered obsolete now that standard FOURCCs for the various DV flavours have been defined.
DVE2	DVE2	No information available for this codec.
DVH1	DVH1	SMPTE 370M. SMPTE 370M - data structure for DV based audio, data and compressed video at 100 Mb/s - 1080/60i, 1080/50i, and 720/60p. This is basically a high definition variant of dv25 and dv50.
DVHD	DVHD	50Mbps Consumer DV. SD-DVCR 1125-60 or SD-DVCR 1250-50. See also dvsl and dvsd.
DVSD	DVSD	25Mbps Consumer DV. SD-DVCR 525-60 or SD-DVCR 625-50. See also dvsl and dvhd. Implemented in the miroVideo DV300 SW only codec which requires the presence of the 1394 (Firewire) interface card with which it shipped. Used by Adobe After Effects, Uleads Mediastudio 6 (and probably VideoStudio) as a generic DV FOURCC. Probably the same as "dvsd". Sources indicate that these FOURCCs were used interchangeably in early versions. Microsoft indicates here that this codec should be considered obsolete now that standard FOURCCs for the various DV flavours have been defined.
DVSL	DVSL	SD-DVCR 525-60 or SD-DVCR 625-50. See also dvsd and dvhd.
DVX1	DVX1	No information available for this codec.
DVX2	DVX2	No information available for this codec.
DVX3	DVX3	No information available for this codec.
DX50	DIVX	DivX MPEG-4. Apparently this is used interchangeably with the DIVX FOURCC when using version 5 of the codec.
DXGM	DXGM	The movies in the game "Lord of the Rings: Return of the King" are encoded in this format. Also used in movies from "Robin Hood" by CinemaWare.
DXTC	DXTC	Another of the DXTn set, I suppose.
DXTN	DXTN	5 different versions (DXT1 - DXT5) of compressed texture formats exist. Full documentation is to be found in the DirectX SDK.
EKQ0	EKQ0	Elsa Quick Codec.
ELK0	ELK0	Codec used by some Elsa graphics cards. Codec used by some Elsa graphics cards. May be a YUV format with reduced colour resolution.
EM2V	EM2V	Etymonix MPEG-2 Video. HIgh quality, MPEG-2 I picture codec with user selectable YUV 4:2:0, 4:2:2 or 4:4:4 compression. Suitable for use in video editing applications.
ES07	ES07	Eyestream 7 Codec.
ESCP	ESCP	Codec used by Eidos Technologies ESCAPE VideoStudio.
ETV1	ETV1	eTreppid Video Codec.
ETV2	ETV2	eTreppid Video Codec.
ETVC	ETVC	No information available for this codec.
FFV1	FFV1	FFMPEG Codec. A lossless video codec based on arithmetic coding developed in the open source ffmpeg project.
FLJP	FLJP	Field encoded motion JPEG with LSI bitstream format.
FMP4	FMP4	FFMpeg. The default MPEG4 format used by tool mencoder.
FMVC	FMVC	FM Screen Capture Codec. A codec intended for use in screen capture applications.
FPS1	FPS1	Fraps Codec	Codec used by Fraps screen video capture application.
FRWA	FRWA	Forward Motion JPEG with alpha channel. A version of motion JPEG as used in the Forward project from SoftLab-Nsk. This format also includes an 8-bit alpha channel per image.
FRWD	FRWD	Forward Motion JPEG. A version of motion JPEG as used in the Forward project from SoftLab-Nsk. Similar to FRWD but without the alpha information.
FVF1	FVF1	No information available for this codec.
GEOX	GEOX	GEOMPEG4. MPEG shipped as part of GeoVision's CCTV surveillance systems.
GJPG	GJPG	Shipped as part of the driver package with some dgital cameras from Fuji.
GLZW	GLZW	Motion LZW. GIF-like codec written by gabest@freemail.hu.
GPEG	GPEG	Motion JPEG. Motion JPEG codec written as a learning exercise by gabest@freemail.hu.
GWLT	GWLT	8bpp greyscale image. WLT apparently means "with lookup table" so it is a palettized format.
H260	H260	No information available for this codec.
H261	H261	No information available for this codec.
H262	H262	No information available for this codec.
H263	H263	H.263 format video is for POTS-based videoconferencing. Used, for example, in some Osprey products.
H264	H264	No information available for this codec.
H265	H265	No information available for this codec.
HDYC	HDYC	Raw YUV 4:2:2. This is apparently identical to UYVY except that the samples use BT709 color space (as used in HD video) rather than BT470 (used for SD).
HFYU	HFYU	Huffman Lossless Codec. Huffman codec for YUV and RGB formats. Available in source and DLL forms.
HMCR	HMCR	Proprietary motion compensation surface format used by Rendition V2x00 DirectDraw driver.
HMRR	HMRR	Newer, proprietary motion compensation surface format used by Rendition drivers.
I263	I263	ITU H.263. PictureWorks NetCard Player - another H.263 implementation from Intel.
ICLB	ICLB	No information available for this codec.
IGOR	IGOR	No information available for this codec.
IJPG	IJPG	Intergraph's version of a JPEG codec.
ILVC	ILVC	No information available for this codec.
ILVR	ILVR	No information available for this codec.
IPDV	IPDV	Giga AVI DV Codec. Codec used with I-O Data Device's IEEE1394 Digital Video Control & Capture Board. This codec implements I-O DATA's original indexed AVI architecture.
IR21	IR21	Indeo 2.1. Old Indeo codec.
IRAW	IRAW	No information available for this codec.
ISME	ISME	May be installed by Roxio DVD Creator 6?
IV30	IV30	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV31	IV31	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV32	IV32	Indeo 3.2. Fairly widespread Indeo 3 codec.
IV33	IV33	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV34	IV34	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV35	IV35	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV36	IV36	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV37	IV37	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV38	IV38	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV39	IV39	Indeo 3. The family of Indeo Video 3 codecs originally developed by Intel but now handled by Ligos.
IV40	IV40	Indeo Interactive.
IV41	IV41	Indeo Interactive. Indeo 4.1 improves image quality and introduces transparency masks.
IV42	IV42	Indeo Interactive.
IV43	IV43	Indeo Interactive.
IV44	IV44	Indeo Interactive.
IV45	IV45	Indeo Interactive.
IV46	IV46	Indeo Interactive.
IV47	IV47	Indeo Interactive.
IV48	IV48	Indeo Interactive.
IV49	IV49	Indeo Interactive.
IV50	IV50	Indeo Interactive. Version 5.0 of the Indeo codec series designed for internet video delivery.
JBYR	JBYR	No information available for this codec.
JPEG	JPEG	JPEG Still Image. This is presumably exactly the same as "JPEG".
JPGL	JPGL	JPEG Light? Proprietary format used by many WebCams which are built around the DIVIO NW 801/802 chip such as the Logitec QuickCam Pro, VideoLogic HomeC@m and other cameras from Askey, Mustek, Microtek, and Tekom. LEAD's MCMP codec supports this format.
KMVC	KMVC	Shipped as part of the game "Worms" by Team17 Software. Info is allegedly obtainable from info@beamaim.demon.co.uk.
L261	L261	No information available for this codec.
L263	L263	LEAD tell me that "The LEAD H.263 codec is a high quality lossy interframe DirectShow and Video for Windows (VfW) codec with a quality and compression ratio comparable to MPEG-4. It can be used for a range of applications including video-conferencing, Internet video or surveillance and monitoring. Existing video software, such as Windows® Media Player® and Ulead Media Studio® can utilize this codec to play, create, convert and edit."
LBYR	LBYR	Based on the naming, I would hazard a guess that this describes some Bayer image format and may have been registered by LEAD Technologies. Can anyone confirm or deny?
LCMW	LCMW	LEAD MCMW Video Codec. This is a wavelet-based codec. LEAD tell me "The MCMW Codec is designed to create high-quality video using low bandwidth (dial-up) delivery. This is achieved by using a state of the art intraframe wavelet based compression technique that provides superior compression performance, while still ensuring optimal quality at any compression level."
LCW2	LCW2	LEAD MJPEG2000. Codec saving standard JPEG2000 streams. LEAD has more info about it here: https://www.leadtools.com/sdk/multimedia/codecs.htm/codecs/lead-jpeg2000.htm
LEAD	LEAD	LEAD Video Codec. LEAD tell me that this codec is now obsolete yet it seems that their "
LGRY	LGRY	Supports 12 and 16bpp grayscale images with additional low and high range information required for medical images. Format public but not finalised when this update was made.
LJ11	LJ11	LEAD JPEG 4:1:1. Presumably a JPEG codec which encodes YUV in 4:1:1 format. This is supported by LEAD's MCMP Codec.
LJ22	LLJ22	LEAD JPEG 4:2:2. Presumably a JPEG codec which encodes YUV in 4:2:2 format. This is supported by LEAD's MCMP Codec.
LJ2K	LJ2K	LEAD MJPEG 2000. LEAD tell me "the LEAD MJPEG2000 Video codec saves standard JPEG2000 streams. This codec is perfect when high compression and interoperability are necessary."
LJ44	LJ44	LEAD JPEG 4:4:4. Presumably a JPEG codec which encodes YUV in 4:4:4 format. This is supported by LEAD's MCMP Codec.
LJPG	LJPG	LEAD MJPEG Codec. Supports color JPEG 4:1:1, 4:2:2, 4:4:4, grayscale JPEG 4:0:0) FOURCCs supported: MJPG, JPEG, dmb1 Lossless JPEG support including 24-bit color and 8,12 and 16-bit grayscale. This format is supported by the LEAD MCMP and MJPEG2000 codecs.
LMP2	LMP2	LEAD MPEG-2 Video Codec. LEAD's implementation of the MPEG-2 video compression standard.
LMP4	LMP4	LEAD MPEG-4 Video Codec. An H.264 codec suporting Main and Base Profles and levels up to 3.2. LEAD offer two versions of this codec, a normal version and a professional version which offers more options and higher compression ratios.
LSVC	LSVC	Old version of the codec now identified as LSVX.
LSVM	LSVM	Another old version of the codec now identified as LSVX.
LSVX	LSVX	Lightning Strike Video Codec. Multi-bitrate decoder used in the eViewStreamX product.
LZO1	LZO1	Lempel-Ziv-Oberhumer Codec. A fast, lossless codec available in source code format.
M261	M261	Redmond's codec implementing the H.261 compression standard.
M263	M263	Redmond's codec implementing the H.263 compression standard.
M4CC	M4CC	No information available for this codec.
M4S2	M4S2	Final fully-compliant ISO MPEG4 decoder, compliant to MPEG-4 version 2 simple profile.
MC12	MC12	Proprietary format used by ATI in MPEG decoding.
MCAM	MCAM	Proprietary format used by ATI in MPEG decoding.
MJ2C	MJ2C	Motion JPEG 2000
MJPG	MJPG	Motion JPEG. Motion JPEG video. The format is also used by Matrox in their Rainbow Runner add-on video capture / MPEG playback board for various of their display adapters and by Canon who's cameras generate AVIs using this codec. 
MMES	MMES	Matrox MPEG-2 video elementary stream.MPEG-2 main profile or 4:2:2 profile closed GOP IBP or I-frame only decoder.
MP2A	MP2A	MPEG-2 Audio.
MP2T	MP2T	MPEG-2 Transport Stream.
MP2V	MP2V	MPEG-2 Video.
MP42	MP42	MPEG-4. Apparently one of several different and incompatible MPEG-4 codecs. Rumour has it that this codec is downloadable from the Microsoft site somewhere. This codec is distributed as part of Microsoft Windows Media Tools 4. Includes quality improvements over the earlier MPG4. 
MP43	MP43	Yet another MPEG-4 variation from Microsoft. This FOURCC is not, however, listed on Microsoft's codecs site. This codec is distributed as part of Microsoft Windows Media Tools 4. Includes further quality improvements over the earlier MPG4.
MP4A	MP4A	MPEG-4 Audio.
MP4S	MP4S	The first ISO standard codec for use with the Sharp digital camera implementing a restricted feature set of MPEG4.
MP4T	MP4T	MPEG-4 Transport Stream.
MP4V	MP4V	MPEG-4 Video.
MPEG	MPEG	MPEG video - presumably MPEG I ?
MPG4	MPG4	MPEG-4 Video High Speed Compressor.
MPGI	MPGI	Editable MPEG codec.
MR16	MR16	No information available for this codec.
MRCA	MRCA	No information available for this codec.
MRLE	MRLE	Run length encoded RGB format from Microsoft. Basically the same as the BI_RLE formats but Michael Knapp clarifies: "MRLE is just *nearly* the same compression as the existing 4 and 8bit RLE formats but the 'copy bytes-chunk' always has an even byte-length. That means that an empty byte is added if the 'copy chunk' contains an odd number of bytes"
MSVC	MSVC	Original codec shipped with Video For Windows. Deals with 8bpp and 16bpp images.
MSZH	MSZH	AVImszh. Kenji Oshima also developed a multi-threaded M3JPEG codec based on one by Morgan Multimedia. This is supposedly the same thing as ZLIB.
MTX1	MTX1	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX2	MTX2	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX3	MTX3	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX4	MTX4	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX5	MTX5	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX6	MTX6	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX7	MTX7	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX8	MTX8	Apparently these are MJPG variations registered by Matrox consumer products group.
MTX9	MTX9	Apparently these are MJPG variations registered by Matrox consumer products group.
MVI1	MVI1	Motion Pixels MVI1 Codec. Part of the Motion Pixels player. Install the player and the codec will become available to other multimedia applications.
MVI2	MVI2	Motion Pixels MVI2 Codec. As for MVI1, this is part of the Motion Pixels player.
MWV1	MWV1	Aware Motion Wavelets. Wavelet compression-based codec optimised for Intel MMX platforms. Codec filename is icmw_32.dll.
NAVI	NAVI	No information available for this codec.
NDSC	NDSC	Nero registered this with me recently but provided no information other than the name.
NDSM	NDSM	A contributor suggests that this codec is owned by Nero Digital and refer sto their flavour of MPEG4 but I have not been able to confirm this.
NDSP	NDSP	Apparently an MPEG4 implementation of some description.
NDSS	NDSS	A contributor suggests that this codec is owned by Nero Digital and refers to their flavour of MPEG4 but I have not been able to confirm this.
NDXC	NDXC	Presumably a variation of MPEG4 part 10/AVC.
NDXH	NDXH	Presumably a variation of MPEG4 part 10/AVC.
NDXP	NDXP	Presumably a variation of MPEG4 part 10/AVC.
NDXS	NDXS	Presumably a variation of MPEG4 part 10/AVC.
NHVU	NHVU	Apparently a texture format introduced for GEForce 3.
NTN1	NTN1	No information available for this codec.
NTN2	NTN2	An evolution of NTN1.
NVDS	NVDS	No information available for this codec.
NVHS	NVHS	Apparently a texture format introduced for GEForce 3.
NVS0	NVS0	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVS1	NVS1	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVS2	NVS2	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVS3	NVS3	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVS4	NVS4	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVS5	NVS5	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT0	NVT0	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT1	NVT1	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT2	NVT2	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT3	NVT3	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT4	NVT4	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
NVT5	NVT5	Supported by GEForce 2 GTS Pro / 64Mb DDR. Possibly a texture format.
PDVC	PDVC	DVC codec. DV codec for I-O DATA Digital Video Capture products.
PGVV	PGVV	No information available for this codec.
PHMO	PHMO	No information available for this codec.
PIM1	PIM1	MPEG-1 based codec.
PIM2	PIM2	Pinnacle DC1000 firewire video editing card supports this format.
PIMJ	PIMJ	Pegasus Lossless JPEG. High speed compression and decompression of 24-bit RGB and 8-bit grayscale using Predictor 1 Lossless JPEG. Well suited for medical video. You may find additional information here: http://www.accusoft.com/picvideolossless.htm
PIXL	PIXL	Video XL. This is apparently an alias for VIXL. You can find more information about it here: http://multimedia.cx/simple-yuv.txt
PJPG	PJPG	Non-standard codec based on MJPEG.
PVEZ	PVEZ	TrueMotion based codec (?) It appears that Horizons Technology has now been acquired by Raytheon and is no longer in the codec business.
PVMM	PVMM	Software MPEG4 codec that supports multiple bitrate encoding/decoding. It is also error resilient allowing transmission over wired/wireless networks.
PVW2	PVW2	Pegasus Wavelet 2000 Compression. High speed compression and decompression of 24-bit RGB and 8-bit grayscale using Pegasus' proprietary Wavelet2000 wavelet technology. Well suited for low motion, low bandwidth applications. More information is available here: http://www.accusoft.com/pvmjpegfeatures.htm
QPEG	QPEG	Q-Team Dr.Knabe's 8-bit output codec with automatic palette switching for seamless edits.
QPEQ	QPEQ	No information available for this codec.
RGBT	RGBT	That's odd. I registered RGBT at the same time as a bunch of other FOURCCs and it was granted. The format I registered is for 16- and 32-bit uncompressed RBG images with a transparency plane. Microsoft's codec site, however, lists Computer Concepts rather than Brooktree (Conexant) as the owner.
RLE 	RLE 	I expect this is an equivalent to one of the the BI_RLEx FOURCCs. The Win2K clock.avi sample uses this format. Final character in the FOURCC is a space.
RLE4	RLE4	Equivalent to BI_RLE4.
RLE8	RLE8	Equivalent to BI_RLE8.
RMP4	RMP4	No information available for this codec.
RPZA	RPZA	Apple Video. RGB555 block-based codec used in Quicktime files.
RT21	RT21	What Indeo was called before the marketing guys got their hands on it. RTV or Real Time Video was the format produced by Intel's ActionMedia II adapter back in the late 80s. When the 80486 came along, this migrated to the software-decodable Indeo formats used today.
RV20	RV20	RealVideo G2 (6.0 and greater versions of the player and encoder)
RV30	RV30	No information available for this codec.
RV40	RV40	Apparently you need to install RealPlayer 10 to enable playback of any AVI encoded with RV40.
S422	S422	VideoCap C210. YUV422 codec shipped as part of the driver package for Tekram's C210 product.
SAN3	SAN3	A direct copy of DivX 3.11a, apparently. If you use a FOURCC changer tool on these AVIs they will play with the standard DivX codecs.
SDCC	SDCC	No information available for this codec.
SEDG	SEDG	MPEG-4 hardware and software codec used in Samsung digital video products.
SFMC	SFMC	Surface Fitting Method. CrystalGram video email codec.
SMP4	SMP4	Codec used by Samsung VP-ms15 Digicam. This appears to be a DIVX clone since apparently SMP4 files play fine if you change the FOURCC to DIVX.
SMSC	SMSC	No information available for this codec.
SMSD	SMSD	No information available for this codec.
SMSV	SMSV	Windows 95 codec installed automatically (and without warning) whenever you receive and play back a file sent from VisualMail. Very low bandwidth format.
SP40	SP40	Appears to be an uncompressed YUV format of some kind but I have no information on this other than that.
SP44	SP44	Presumably a precursor to SP54?
SP54	SP54	Apparently a form of MJPEG but with some header or other missing. Software shipped with a number of low end digital cameras and webcams such as Aiptek's Pocketcam digital still camera, Logitech's ClickSmart and Mustek's gSmart mini 2 use this format. These use SunPlus chipsets so presumably this explains the "SP". 
SPIG	SPIG	No information available for this codec.
SQZ2	SQZ2	No information available for this codec.
STVA	STVA	Data from ST CMOS Imagers that is passed to a codec external to the driver for processing to a displayable format.
STVB	STVB	Data from ST CMOS Imagers that is passed to a codec external to the driver for processing to a displayable format.
STVC	STVC	Data from ST CMOS Imagers that is passed to a codec external to the driver for processing to a displayable format.
STVX	STVX	Data from ST CMOS Imagers that is passed to a codec external to the driver for processing to a displayable format.
STVY	STVY	Data from ST CMOS Imagers that is passed to a codec external to the driver for processing to a displayable format.
SV10	SV10	Video R1. Allegedly popular as a Quicktime codec. Used for trailer videos on Star Wars Episode 1 and other games.
SVQ1	SVQ1	Sorenson Video 1. Hierarchicial adaptive multistage vector quantizer with mean removal and interframe motion compensation. Used in Quicktime.
SVQ3	SVQ3	Video codec used in Quicktime files. A variant of H.264.
TLMS	TLMS	No information available for this codec.
TLST	TLST	No information available for this codec.
TM20	TM20	Version 2.0 of Duck Corp's Truemotion codec. I'm told this codec is available...
TM2X	TM2X	Duck Corp's follow-on codec after TM20.
TMIC	TMIC	No information available for this codec.
TMOT	TMOT	Another FOURCC for TrueMotion S. This relates to the version of the codec licensed by Horizons Technology and is not compatible with DUCK.
TR20	TR20	TrueMotion RT 2.0. Realtime version of TrueMotion.
TSCC	TSCC	TechSmith Screen Capture Codec	Codec used by the Camtasia.
TV10	TV10	No information available for this codec.
TVJP	TVJP	Used by the Targa 2000 board.
TVMJ	TVMJ	Used by the Targa 2000 board. Morgan Multimedia offers a codec supporting this format: http://www.morgan-multimedia.com/morgan/php/news.php
TY0N	TY0N	No information available for this codec.
TY2C	TY2C	No information available for this codec.
TY2N	TY2N	No information available for this codec.
UCOD	UCOD	ClearVideo. Fractal compression-based video codec available as a Video for Windows codec and in the ClearFusion Netscape plugin package.
ULTI	ULTI	Ultimotion. Shipped with OS/2 but also available for Video for Windows.
V210	V210	Uncompressed format supported by AJA Video Systems Xena adapter.
V261	V261	No information available for this codec.
V655	V655	Component ordering and packing unknown. Can you help?
VCR1	VCR1	Codec used by some ATI TV-PC products.
VCR2	VCR2	Codec used by some ATI TV-PC products.
VCR3	VCR3	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR4	VCR4	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR5	VCR5	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR6	VCR6	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR7	VCR7	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR8	VCR8	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VCR9	VCR9	Registered for ATI Video Codecs version 3-9. I'm not sure these actually exist but the registrations are valid.
VDCT	VDCT	16bpp format - no information on colour space, packing or component ordering.
VDOM	VDOM	Another streaming video format from VDONet.
VDOW	VDOW	H.263 internet streaming video format. Allegedly to be used (being used ?) by Microsoft in it's NetShow offering.
VDTZ	VDTZ	VideoTizer YUV Codec. Codec used to store YUV AVIs captured with Darim Vision's VideoTizer product.
VGPX	VGPX	VideoGramPix. Alaris VGPixel 32-bit AVI compression driver. It seems that this codec is installed along with the software for the "Alaris Wee Cam."  The codec doesn't appear to be available separately but, allegedly, works fine if you install the Wee Cam software even without the camera.
VIDS	VIDS	YUV 4:2:2 CCIR 601 for V422 (no, I don't understand this either)
VIFP	VIFP	VFAPI Codec. Take a look at http://www.doom9.org where you may find more information.
VIVO	VIVO	Vivo's version of the videoconferencing "standard" H.263 compression format (version 2.0.0).
